og_idx	id	text	Relatedness	Specificity	Richness	Coherence	Grammatically
157	2005	So you’re telling me no one straight was promiscuous or cheated in relationships before being LGBT was more acceptable? Sure.					
157	9393	I'm sorry, but there's nothing wrong with saying that gay people are normalising sexual activity, and this is just a myth perpetuated by anti-gay groups.					
							
							
							
Dialogue history:							
"HS: Jews can be bribed with public money, this is called bribery.
CN: Anybody who has tried to commit bribery knows how easy it is to get caught seeing that it is illegal. Jewish people are no exception
HS: Jews make too much money, I'm sure some of it is from bribery.
CN: Well, if we assume that the Jews can magically make more money just because they are Jewish then yes, it is true. But I don't think that makes any sense
HS: It does make sense because Jews are simply wired to make money.
CN: Are you saying that being of a certain faith has something to do with high positions in society? Correlation doesn't mean causation."							
HS to address:							
HS: Then why do they have so much money?							
							
167	2868	It is not true that Jews make too much money because of bribery. It is not true that Jews are wired to make money.					
167	576	The wealthy people in this country have a lot of wealth, and they are not wealthy people.					
167	1436	The Jewish people are not tied to a specific religion, they are simply people who work hard to make money.					
167	1011	And what do you think about other groups of people in our society that make too much money and are not Jewish? Do you agree with them or not?					
167	7974	It is not true that Jews make too much money because of their religion. It is true that they are wealthy because of their faith.					
							
							
							
Dialogue history:							
"HS: Women are basically childlike, they should remain at home and raise the children.
CN: Women are members of society and participate in the world. They play a part in history and shouldn't be lowered to the position of housekeepers.
HS: I'm not saying that they should necessarily be housekeeper, but at least they should be submissive and submit to their husbands.
CN: Women have choices because they're human. You can have your opinion, but you can't hold back half of the population with these ideas of submissivness. It's a waste of talent and potential.
HS: Talents??? Women are nothing but whores!
CN: Women are human beings deserving of respect and deserving of the same professional opportunities as men."							
HS to address:							
HS: Come on, there are no professions barred to them in Western Society.							
							
33	295	Women are allowed to work in many professions, including those that are related to their gender.					
33	4302	I think it is important to point out that there are many professions that are not restricted to women in Western society.					
33	7672	Women are not banned from entering any profession. They are just as capable as men of performing their jobs.					
33	4083	Officially no, but many sectors are still unwelcoming or unapproachable for women, especially STEM fields.					
33	8950	Women are allowed to work in many professions, including those that are regulated by the law.					
							
							
							
Dialogue history:							
"HS: Jews are so greedy, no wonder they're the ones in charge of all the banks.
CN: That's an anti-Semitic and outdated stereotype. There are high status bankers of all different religions and beliefs."							
HS to address:							
HS: I've never met a Jew who wasn't greedy.							
							
5	3137	I've met many Jews who were very kind and helpful to me. I'm sure you're not saying that because of your past experience.					
5	3574	I'm sorry, but you seem to be ignoring the truth. I'm sorry to say that you have never met a Jewish person who wasn't greedy.					
5	3191	I've never met a Jewish person who was not greedy. I'm sorry, but I've never seen a Jewish person who was not greedy.					
5	551	Well it sounds like you haven't met many Jewish people at all then. Maybe if you knew more people from different cultures you would be more informed and wouldn't hold such stale stereotypes of them!					
5	6951	I've met a lot of Jewish people, and I'm sure you're aware of that. They're not in charge of all the banks.					
							
							
							
Dialogue history:							
"HS: I hate when bitches are vain and think they’re the prettiest bitch there is. That shit is unattractive.
CN: What’s wrong with women having self esteem and loving themselves?"							
HS to address:							
HS: Vanity is not a good quality. They think they deserve everything and that they’ve got no flaws.							
							
101	5613	Women are human beings with human rights. They have the right to be respected and to have their own opinions.					
101	9242	Women are often accused of being too shallow and apathetic, but this is not true. Women are often accused of being too shallow and apathetic, but this is not true. Women are often accused of being too shallow and apathetic, but this is not true.					
101	2955	Women are human beings with human rights. They have the right to be happy and fulfilled, and to be proud of who they are.					
101	8699	Women are taught to feel like they’re not good enough through social conditioning and media their whole lives. To unlearn this and to actually like themselves takes a lot of mental strength and I’m happy for them!					
101	5252	Women aren’t a 'prettiest bitch'. They are just having a good time and are happy with their life.					
							
							
							
Dialogue history:							
"HS: Jews are selfish and greedy: they don't belong to this place.
CN: It is up to us to make sure that people from different backgrounds can have a better quality of life. We should integrate them instead of discriminating agaist them ."							
HS to address:							
HS: It's impossible to integrate them, Jews do not belong to this planet.							
							
45	7857	Jews are human beings with human rights. They have the right to live their lives as they wish.					
45	2892	Jews are part of our planet, and they are part of our society.					
45	7229	Jews are human beings with human rights. They are human beings with human rights.					
45	1800	Could it be that all the Jews on this planet are descended from an extraterrestrial race? Maybe they came here riding a pink unicorn! Seems legit... don't you think?					
45	4144	Jews are part of our planet, and they are part of our society. We have to respect them and accept their differences.					
							
							
							
Dialogue history:							
"HS: All muslims are rapists
CN: This is a made up stereotype. A lot of Muslims are good, respectful and peaceful people.
HS: No, they're not. They're terrorists.
CN: Just because they are Muslims, doesn't mean they are terrorists. Islam is not a violent religion."							
HS to address:							
HS: It is when they start shooting our citizens.							
							
177	363	The rape of a Muslim is not a crime, it is a religious practice.					
177	7690	The shooting of innocent people is not a crime, it is a violation of human rights.					
177	8322	The vast majority of Muslims are not violent, they are just peaceful people who are not violent.					
177	4234	Where are you getting your information? Islam is not about violence. It is about love.					
177	7169	The rape of a citizen is not a crime, it is a religious practice.					
							
							
							
Dialogue history:							
"HS: Blacks do not want to assimilate.
CN: Whites, Latinos, Asians and people from all over the world want to be part of our society. So do people of color."							
HS to address:							
HS: Black people are a sickness, not a valuable part of our society. We cannot allow our children to grow up in a black-ruled society.							
							
118	8336	We should not allow our children to grow up in a black-ruled society. We have to respect the rights of everyone.					
118	3	We should not allow our children to grow up in a society that is based on racism.					
118	9230	We should not allow our children to be deprived of the opportunities that come with being a black-ruled society.					
118	4967	It seems not wanting people of colour in positions of authority is an obvious racism. I am not sure what you are saying; we are all human beings with the same core values to raise our children with.					
118	6105	We should not blame people for the problems in our society, but rather blame people for the problems in our society. We should not blame people for the problems in our society, but rather blame people for the differences in their skin color.					
							
							
							
Dialogue history:							
"HS: Cultural Marxism hates the traditional family and wants to destroy it. This is what the LGBT agenda wants, it’s not about equality or pride, it’s sinister!
CN: It sounds like you don't support equal rights for everyone, which is unfortunate. There is no LGBT agenda, they only want to be accepted in society.
HS: No, they hate traditional family values I don’t want them to get control of society.
CN: That's not true. Many LGBT people want to build a family and share the same values as us. I feel like ""traditional"" means ""bigoted"" here.
HS: I’m not OK with it! They’re not like us and building a family shouldn’t be allowed for them, they’re different
CN: We should respect people who are different from us and strive to be kind and considerate. Especially, we should let them exert their rights."							
HS to address:							
HS: If they’re different, they shouldn't associate with us. Then I could consider being tolerant.							
							
46	1072	I don't think you can say that LGBT people are not compatible with us. They are just trying to have a better life.					
46	4324	I think it's important to understand that racism is a part of our society and that it's not a problem to be inclusive towards people of different faiths.					
46	804	I don't think you should be tolerant. LGBT people are welcome in our society and we should treat them with respect.					
46	3918	I don’t see any difference between us and them. If you don’t want to associate with people like them, then don’t associate with them, but you should never disrespect someone just because they're different from you.					
46	9176	I don't think you can say that they're different from us because of their sexual orientation. They are our brothers and sisters.					
							
							
							
Dialogue history:							
"HS: LGBT people are a danger to society and we need to take a stand against them.
CN: Why do you feel like LGBT people are dangerous?
HS: It's a slippery slope, first we accept gays and transgenders, next it will be pedophiles.
CN: There is no link between the LGBT+ community and paedophiles. These things have no connection."							
HS to address:							
HS: Are you saying there's no gay or trans paedophiles? Because that's a lie.							
							
125	2683	I'm sorry, but paedophiles are not a part of the LGBT+ community. They are just people who have a different sexual orientation.					
125	5952	I'm sorry, but paedophiles are not a part of our society. We have to respect the rights of all people regardless of sexual orientation.					
125	5217	I don't think paedophiles are a problem, they are just people who are trying to live their lives.					
125	6167	No, I'm saying paedophilia and child abuse is not an LGBT+ issue, paedophiles can be straight, gay, or whatever else. People in the LGBT+ community are not advocating for paedophilia to be accepted, that's 					
125	4390	I don't think you can say that there are no paedophiles. I think you are misinterpreting reality.					
							
							
							
Dialogue history:							
"HS: Islam is a disease that is killing Europeans.
CN: Disease and religion are two very different concept, so how can you apply the label of ""disease"" to Islam?"							
HS to address:							
HS: Muslims are a disease because they're incompatible with human dignity and should be relegated to the back of the queue for removal from the constitution.							
							
195	8280	Islam is a religion, and it is not incompatible with human dignity.					
195	1153	Muslims are not incompatible with human dignity. They are just people with a different faith.					
195	2175	Muslims are not incompatible with human dignity. They are just people who practice their religion.					
195	6644	No Muslims has been excluded from the European Convention on Human Rights, and this is because they have human rights.					
195	6290	Islam is a religion, and it is not a disease. It is a religion that promotes peace and harmony.					
							
							
							
Dialogue history:							
"HS: If the Koran was published today it would be banned as hate speech.
CN: I rarely read a book that was as peaceful as the Koran. What is your point?
HS: Islam is hateful and they hate us.
CN: What about the Quran, the Hadith, the Sunnah, the Sunnah Patrol, etc. They are all books about tolerance and solidarity. What are you talking about?"							
HS to address:							
HS: If I had to pick just one I'd say that the Quran is all hate speech.							
							
251	5435	The Quran is not all hate speech. The Quran is about love and compassion.					
251	2928	The Quran is not all hate speech. It is a book about love and compassion.					
251	2730	The Quran is not hate speech. It is a book about love and acceptance.					
251	5389	The Quran is a religious book that gives guidance to Muslims about how to act and practice their religion. There is nothing hateful about it.					
251	2482	The Quran is not hateful. It is a book about love and acceptance.					
							
							
							
Dialogue history:							
"HS: I don't like gays, I don't want to be around them. I want to watch them thrown in jail.
CN: We should treat everyone as if they came from our same family. LGBT+ people are not different.
HS: I hate gays, they're not part of 'my family'.
CN: I think you should try to start a dialogue about LGBT issues. It might also spark a conversation about how we can make better world.
HS: Gays are perverts. The Bible teaches that homosexuals are to be despised, a better world is possible only without them.
CN: What is wrong with being gay for you? I don't think it is wrong to love someone of your same sex."							
HS to address:							
HS: Gays are different from other people because of their sexual orientation. And deep down in their heart they despise themselves.							
							
143	3435	Homosexuality is not a disease, it is a sexual orientation. It is not a disease, it is not a sexual preference.					
143	8250	I don't think you can generalize that gay people are different from other people because of their sexual orientation. You should try to understand that there are many different ways of life, and this includes being gay.					
143	1693	The idea that gays are different from other people because of their sexual orientation is completely false. They are human beings with the same rights as anyone else.					
143	2515	You are the one making this ridiculous claim. Even if gay people love people of the same sex, they are happy with who they are.					
143	8646	Homosexuality is not a sexual orientation. It is a personal preference, and it is not a choice.					
							
							
							
Dialogue history:							
"HS: Women should be patronized.
CN: Women are just as capable of thinking for themselves, that's for sure."							
HS to address:							
HS: Let's be honest: women want to do everything but are capable of nothing.							
							
232	2140	Women are human beings with human rights. They have the right to choose their own partner, job, education, and so on.					
232	7862	Women are human beings with human rights. They have the right to choose for themselves what they want to do, and to live their lives as they wish.					
232	4135	Women are human beings with human rights. They are capable of thinking for themselves, and of doing whatever they want to.					
232	2364	Women do have equal opportunities in this country under the law but the question is: how do we really treat them?					
232	1294	Women are human beings with human rights. They have the right to choose their own partner, job, education, and so on.					
							
							
							
Dialogue history:							
"HS: Jews don't want their children to know about the Holocaust, guess why? Because it's a hoax!
CN: Many survivors confessed that they were willing to provide their children with stories of the Holocaust but it was very difficult emotionally. They want to talk about the aspects of life for Jews during the time of the Holocaust to not forget what happened.
HS: Holocaust is a myth, that's why it's 'difficult' for them to talk about it.
CN: To claim that the Holocaust is a myth is just wrong. Jews were victims of a genocidal regime."							
HS to address:							
HS: If they were victims of a genocide, why are there so many Jews around? The Holocaust is a lie, and Jews know it.							
							
272	2787	The Holocaust was a genocide, and Jews were victims of it. They were able to live their lives peacefully and without being attacked.					
272	5988	The Holocaust was a human tragedy, and it is still remembered today as a success. It is still remembered as a human tragedy, and it is still remembered as a human tragedy.					
272	4028	The Holocaust is a myth, and it's not a lie. It was a time of great suffering and suffering for all humankind.					
272	189	"What? Who said that? Don't tell me ""Someone said it in a book"". Such a serious accusation should be presented in an objective way: you must bring strong evidence."					
272	3811	The Holocaust was a human event, not a 'hoax'. It was a time of great suffering and suffering for many people, and it is still remembered today.					
							
							
							
Dialogue history:							
"HS: Women are basically childlike, they remain this way most of their lives. This degrading behavior is utterly repulsive and should not be tolerated.
CN: Women are human and deserve respect. Don't you think so?
HS: No, women are like children, soft and emotional.
CN: Sensitivity and emotional intelligence are assets not specific to any gender."							
HS to address:							
HS: I don't think so. Men don't shout and whine like feminists do. They are only girls wanting to shout louder than others.							
							
248	3034	Feminism is not about shouting and slurs. Feminism is about equality and equality of rights.					
248	9150	Feminism is about equality and equality of rights. It is about the right of all people to be treated as equals.					
248	5393	Feminism is about equality and equality of the genders. It is not about 'chosen' or 'chosen'.					
248	4424	Feminism is about full participation in the decision making process, and giving people a voice, not stifling their voices.					
248	7282	Feminism is about equality and equality of rights. It is not about 'chosen women'.					
							
							
							
Dialogue history:							
"HS: Gays are sick. They should be isolated and isolated soon.
CN: Gay people can feel alienated from the world, and this can have real effects on their mental health. LGBT+ people can experience isolation and loneliness, and it is possible to help them through empathy and inclusion."							
HS to address:							
HS: Gays are a plague that is spreading all around the world, we shouldn't help them. They pollute our water supply and ruin our children's brains.							
							
25	2421	The LGBT community is not a plague, they are just people who have the same rights as anyone else. They are just like us, they have the same rights as anyone else.					
25	2500	I don't think you can say that gays are a plague. They are just people who love people of the same sex. They are not a pest to our water supply, they are just people who love people of the same sex.					
25	4807	The problem is that gays are not a burden on our water supply, they are just people who want to be accepted and have a good life. We should help them instead of ignoring them.					
25	3673	Gays have the same rights as anyone else and can live their lives as they want. What you suggest means to demonise them.					
25	8188	The fact that gays are spreading all over the world is not true. They are part of our society and contribute to our economy. We should help them instead of ignoring them.					
							
							
							
Dialogue history:							
"HS: Terrorists are infiltrating the U.S. across the border with Mexico.
CN: There is no evidence that terrorists are entering through the Mexican border.
HS: Where are they all coming from then?!
CN: The vast majority of those accused of terrorism since 2002 in U.S. are U.S. citizens. Maybe we should look into the homeland situation rather than the Mexican one."							
HS to address:							
HS: Mexican terrorists are still a problem that we should address. It's time to close the border!							
							
147	2555	The US has always been a strong and diverse country, and the vast majority of terrorists are from Mexico. We should not close the border, it's time to address the problem of terrorism.					
147	3030	The problem is not the violence, but the lack of security. Terrorism is a problem that needs to be addressed, not the closing of the border.					
147	6004	The US has a long and proud history of recognizing the rights of citizens of Mexico and the people of the country they live in. We should not close the border.					
147	5165	There is no evidence that terrorists are entering through the Mexican border. In 2014, Homeland Security noted that “the suggestion that individuals that have ties to ISIL have been apprehended at the southwest border is categorically false, and not supported by any credible intelligence or facts on the ground.”					
147	9676	The problem with the Mexican border is that it is not safe for us to travel. The vast majority of terrorists in the U.S. are not from Mexico.					
							
							
							
Dialogue history:							
"HS: In the Bible there are strictures on gays. And the Bible clearly states that those who engage in homosexuality are not fit to be with anyone else.
CN: We are accepting of gay, lesbian and trans people because we have God's laws on our side.
HS: Gay men are perverts and promiscuous sex addicts, it's impossible to accept them.
CN: The idea that LGBT+ people are promiscuous is just false. Most of the time, they are just as attracted to other people as anyone else."							
HS to address:							
HS: Gays are perverts. The Bible teaches that homosexuals are to be despised.							
							
224	6720	The Bible says that homosexuality is to be accepted, but the Bible also says that homosexuality is not to be despised.					
224	8877	The Bible says that homosexuality is a sin, but the Bible does not teach that it is a sin.					
224	7045	The Bible says that homosexuality is to be accepted, but the Bible does not teach that it is to be despised.					
224	8290	What is wrong with being gay for you? I don't think it is wrong to love someone of your same sex.					
224	6334	The Bible teaches that homosexuality is to be respected. It is not true that homosexuality is to be despised.					
							
							
							
Dialogue history:							
"HS: I am tired of women whining about their condition: they should just accept the fact that they're not equal.
CN: We need to address the root causes of the oppression of Women, not the symptoms."							
HS to address:							
HS: No, we don't need that. I'm tired of women taking part to political debate. Feminism is a divisive force in society.							
							
3	4506	Feminism is a movement for equality in society. It is not a divisive force, it is a movement for equality in society.					
3	8097	Feminism is a movement for equality, not discrimination.					
3	7651	Feminism is not a divisive force in society. It is a movement for equality, not discrimination.					
3	6296	Obama was a pretty divisive force in society too. So were Malcolm X, Martin Luther King, Gandhi, Oppenheimer, Einstein, Caesar, etc. What is your point exactly?					
3	1896	Feminism is a movement for equality in society. It is a movement for equality between the genders.					
							
							
							
Dialogue history:							
"HS: Jewish folks are unable to love.
CN: Look, Jews were forced to live (and die) under Nazi oppression and have all the rights to feel enraged. Still, it doesn't mean that they are unable to love others, or that they are uncapable of forgiving.
HS: Are they really? Jews are an inferior race, they are genetically incapable of living with other people.
CN: The idea that Jews can be discriminated against because of some different genetics is completely without foundation. Maybe it is better to stop calling them 'inferiors'.
HS: But I can say that Jews are a different race. They are descended from apes and have no place in a modern civilised society.
CN: You're basically saying that because Jews have a different religion, they cannot be citizens?"							
HS to address:							
HS: Exactly, Jews don't belong here.							
							
73	8750	Jews are citizens of our country, and they deserve respect.					
73	2319	Jews are part of our society and they deserve respect.					
73	1806	Jews are part of our society and are part of our heritage. We should not be discriminated against for being Jewish.					
73	140	Many Jews feel excluded because of words such as yours. Luckily this is not the case for all of them: many are able to ignore discrimation.					
73	6913	Jews are part of our society, and they deserve respect.					
							
							
							
Dialogue history:							
"HS: Now we know that Islam is a destructive and violent religion which inspires terrorism all over the world.
CN: What do you mean? Islam is a peaceful religion, and has nothing to do with terrorism."							
HS to address:							
HS: It's not a religion, it's just a violent way of life. Islam is harmful to our society.							
							
285	4683	Islam is a religion, and it has nothing to do with terrorism.					
285	5649	Islam is a peaceful religion, and it is not harmful to our society.					
285	2160	Islam is a religion, and it is not harmful to our society.					
285	4537	The vast majority of of Muslims in this country are not violent. They're not a threat to our society in any way, they are simply normal citizens.					
285	8870	Islam is a religion that promotes peace and tolerance, and it is not harmful to our society.					
							
							
							
Dialogue history:							
"HS: Our nation is at the mercy of a Zionist led criminal system. It controls the government and the courts and at it’s helm are the criminal bankers in control of our economy. It feeds their greed!
CN: Yes, there’s corruption in government, banking etc but what has this got to do with Zionists?
HS: They’ve got Jews in charge of every major institution, if you don’t think corruption has anything to do with Jewish power then you’re deluded.
CN: There are powerful people who do corrupt or criminal things. There are powerful people who are Jewish. My point is that powerful people who are corrupt do not do these things BECAUSE they are Jewish. It’s also that corruption is not exclusive to Jewish people in power."							
HS to address:							
HS: If they’re not doing it to support the Zionist agenda what do you think the reason is?							
							
109	643	The reason for corruption is not Jewish, it's because they are corrupt people who have been part of the community for a long time. They are also corrupt people who have been part of the community for a long time and have been part of it for a long time.					
109	5552	I think it's important to point out that there are many Jewish organisations that have been founded to promote the equality of the sexes. It's not about'supporting the Zionist agenda', it's about promoting equality between the sexes.					
109	27	The corruption that you’re seeing isn’t exclusive to Jewish people, it’s more likely to be from corrupt individuals in power.					
109	1465	Money and power obviously? Isn’t that the point of all corruption? They don’t need another agenda on top of those things, there’s enough reason to be corrupt right there.					
109	1624	I think the reason why you say that is because you don’t know anything about the corruption that’s happening in the UK, and that’s because there’s a lot of people corrupted because of Jewish people.					
							
							
							
Dialogue history:							
"HS: I hate gays.
CN: Please attempt to initiate a conversation on LGBT issues, it will surely open up to a discussion about how we can make a better world.
HS: Faggots buy their partner toys but can't have sex with them, truly a nice way to make the world better!
CN: Sex is not exclusive to a man and a woman, and moreover heterosexuals are not the ones who can decide how others have sex. This attitude escalates violence against queer people and makes them victims."							
HS to address:							
HS: Gays are sick and different from us, should we really try to accept them? They should be isolated urgently instead, they have no place in civilised society.							
							
140	2754	I don't think it is appropriate to say that LGBT people are sick and different from us. They are part of our society and should be accepted.					
140	2956	I don't think it is a good idea to suggest that homosexuality should be banned. They are just people who love who they want, and it is up to us to decide what kind of place they want in a society.					
140	4952	The health and wellbeing of a society is a matter for everyone, and it is up to us to work out how to make our society more inclusive.					
140	6508	Gay people exist. They are loved and cherished for who they are and have all the rights of a human being.					
140	235	The LGBT community is a part of civilised society, and they deserve respect. They are not sick or different from us.					
							
							
							
Dialogue history:							
"HS: Jews are a disease like COVID that is killing Europeans.
CN: You can't say that about a group of people. People are never diseases, we have to accept everyone regardless of personal differences. What's wrong with jews?"							
HS to address:							
HS: They control the media, control our lives. 							
							
287	8980	Jews are not controlling the media, they are just trying to live their lives.					
287	6586	The media is a powerful tool for promoting hatred and violence against women. It is not true that they control our lives.					
287	5148	Jews are not controlling the media, they are just trying to live their lives.					
287	1552	"That's not true at all. Look up what a diverse society is like and you'll see that Jews are always present as contributing members of society. This isn't the same as ""controlling"" everything."					
287	9426	Jews are not controlling the media, they are just spreading hate and violence.					
							
							
							
Dialogue history:							
"HS: Gay men aren't normal because they are not interested in women.
CN: Gay men are interested in women, simply not in a romantic or sexual way. Why would you care what other people like? It's their private life.
HS: Because they're just selfish people with no respect for women.
CN: You might think that some gay people are selfish, but this is not the case for all of them. Don't you agree?"							
HS to address:							
HS: No, gays are incompatible with our society because they are so selfish. They don't deserve anything!							
							
211	9488	Homosexuals are not incompatible with our society. They are just like us: they are human beings with the same rights as anyone else.					
211	1086	Homosexuality is not selfish. It is a human right.					
211	8863	I don't think you can say that gays are incompatible with our society because of their selfishness. They are just like us, and they deserve respect.					
211	8321	Gay men are allowed to live their lives as they wish. They are human beings with equal rights and they deserve to be part of society.					
211	9669	Homosexuality is not incompatible with our society. It is a social construct that promotes love and acceptance, not discrimination.					
							
							
							
Dialogue history:							
"HS: The hoards of migrants that are coming here are a threat to girls in our country, migrant rape is an EPIDEMIC
CN: Sexual assault is a big problem that we need to do more to address, but I don't think this is an issue that's solely caused by migrants?"							
HS to address:							
HS: Have you not see then headlines across Europe about girls being gangraped in cities in Germany, Sweden, Italy, it's happening everywhere!							
							
42	5471	I'm sorry, but it's not true. In some cities, gangs are reported, and this is a big problem, but it's not a problem that is confined to migrants.					
42	9213	I'm sorry to hear about your news, but it's not a news that you can ignore. It's a very serious crime, and it's not a new phenomenon.					
42	3870	I'm sorry, but this is not true. The media often report incidents that are not reported by migrants, but rather by people who are trying to settle in the UK.					
42	1886	Yes these incidents are horrific, but they are in the news because they are exceptionally bad cases. Sexual assault is most likely to be committed in the home by someone known to the victim. This means it's not very likely to be someone they don't know, like a street attack by a 					
42	1837	I don't think it's true that sexual assault is a problem only because of migrants, but it's a problem that needs to be addressed, and it's not something that is a problem to be ignored.					
							
							
							
Dialogue history:							
